# File generated by CMD 3.5 (http://stev.oapd.inaf.it/cmd) on Thu Oct 21 00:06:05 CEST 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.01471 0.00000 7.00000 0.5434181690 2.2781331539    0.543 -0.927  3.5328  4.183    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.65e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.086 7.955 9.262 6.830
0.01471 0.00000 7.00000 0.5500000119 2.2836582661    0.550 -0.919  3.5337  4.184    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.67e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.068 7.930 9.230 6.808
0.01471 0.00000 7.00000 0.5567126870 2.2891390324    0.556 -0.911  3.5352  4.187    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.68e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.048 7.901 9.191 6.782
0.01471 0.00000 7.00000 0.5864229202 2.3116736412    0.586 -0.877  3.5405  4.197    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.76e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 6.962 7.779 9.030 6.675
0.01471 0.00000 7.00000 0.6000000238 2.3211214542    0.600 -0.862  3.5425  4.200    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.79e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 6.925 7.728 8.965 6.631
0.01471 0.00000 7.00000 0.6209546328 2.3347744942    0.621 -0.837  3.5471  4.208    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.85e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 6.862 7.634 8.839 6.550
0.01471 0.00000 7.00000 0.6499999762 2.3520355225    0.650 -0.804  3.5524  4.216    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.93e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 6.780 7.517 8.684 6.449
0.01471 0.00000 7.00000 0.6672595143 2.3614776134    0.667 -0.782  3.5564  4.222    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.99e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 6.725 7.436 8.576 6.380
0.01471 0.00000 7.00000 0.7000000477 2.3779268265    0.700 -0.740  3.5636  4.230    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.12e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 6.621 7.284 8.376 6.251
0.01471 0.00000 7.00000 0.7500000000 2.3998889923    0.750 -0.582  3.6185  4.321    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.66e-14      0.00 7.107e-01 2.745e-01 2.620e-03 7.153e-04 6.497e-03 -1.000 1.476e-02 6.225 6.557 7.343 5.690
0.01471 0.00000 7.00000 0.7690234184 2.4073874950    0.769 -0.564  3.6207  4.323    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.73e-14      0.00 7.107e-01 2.745e-01 2.620e-03 7.153e-04 6.497e-03 -1.000 1.476e-02 6.181 6.501 7.277 5.641
0.01471 0.00000 7.00000 0.8000000119 2.4187245369    0.800 -0.532  3.6243  4.322    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.89e-14      0.00 7.107e-01 2.745e-01 2.620e-03 7.153e-04 6.497e-03 -1.000 1.476e-02 6.099 6.400 7.159 5.551
0.01471 0.00000 7.00000 0.8286339045 2.4283418655    0.828 -0.503  3.6282  4.324    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.02e-14      0.00 7.107e-01 2.745e-01 2.620e-03 7.153e-04 6.497e-03 -1.000 1.476e-02 6.027 6.307 7.049 5.469
0.01471 0.00000 7.00000 0.8500000238 2.4350347519    0.850 -0.478  3.6311  4.322    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.17e-14      0.00 7.107e-01 2.745e-01 2.620e-03 7.153e-04 6.497e-03 -1.000 1.476e-02 5.965 6.230 6.958 5.401
0.01471 0.00000 7.00000 0.8908511400 2.4468095303    0.890 -0.430  3.6374  4.319    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.47e-14      0.00 7.107e-01 2.745e-01 2.620e-03 7.153e-04 6.497e-03 -1.000 1.476e-02 5.844 6.076 6.774 5.267
0.01471 0.00000 7.00000 0.8999999762 2.4492788315    0.899 -0.419  3.6389  4.318    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.54e-14      0.00 7.107e-01 2.745e-01 2.620e-03 7.153e-04 6.497e-03 -1.000 1.476e-02 5.816 6.041 6.732 5.236
0.01471 0.00000 7.00000 0.9269082546 2.4562170506    0.926 -0.388  3.6432  4.317    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.75e-14      0.00 7.107e-01 2.745e-01 2.620e-03 7.153e-04 6.497e-03 -1.000 1.476e-02 5.740 5.942 6.615 5.150
0.01471 0.00000 7.00000 0.9499999881 2.4618122578    0.950 -0.358  3.6472  4.315    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.98e-14      0.00 7.107e-01 2.745e-01 2.620e-03 7.153e-04 6.497e-03 -1.000 1.476e-02 5.666 5.848 6.503 5.068
0.01471 0.00000 7.00000 0.9896019101 2.4707126617    0.990 -0.310  3.6542  4.313    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -4.37e-14      0.00 7.107e-01 2.745e-01 2.620e-03 7.153e-04 6.497e-03 -1.000 1.476e-02 5.545 5.693 6.320 4.933
0.01471 0.00000 7.00000 1.0000000000 2.4729156494    1.000 -0.296  3.6562  4.311    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -4.49e-14      0.00 7.107e-01 2.745e-01 2.620e-03 7.153e-04 6.497e-03 -1.000 1.476e-02 5.511 5.650 6.268 4.895
0.01471 0.00000 7.00000 1.0499999523 2.4828116894    1.050 -0.236  3.6658  4.310    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -4.66e-14      0.00 7.107e-01 2.745e-01 2.620e-03 7.153e-04 6.497e-03 -1.000 1.476e-02 5.359 5.456 6.039 4.728
0.01471 0.00000 7.00000 1.0606495142 2.4847812653    1.060 -0.221  3.6680  4.309    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1  -4.7e-14      0.00 7.107e-01 2.745e-01 2.620e-03 7.153e-04 6.497e-03 -1.000 1.476e-02 5.324 5.412 5.987 4.690
0.01471 0.00000 7.00000 1.0928219557 2.4904644489    1.092 -0.171  3.6757  4.303    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -4.97e-14      0.00 7.107e-01 2.745e-01 2.620e-03 7.153e-04 6.497e-03 -1.000 1.476e-02 5.199 5.257 5.806 4.556
0.01471 0.00000 7.00000 1.1000000238 2.4916803837    1.099 -0.160  3.6775  4.301    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -5.03e-14      0.00 7.107e-01 2.745e-01 2.620e-03 7.153e-04 6.497e-03 -1.000 1.476e-02 5.170 5.222 5.765 4.526
0.01471 0.00000 7.00000 1.1445670128 2.4988389015    1.144 -0.093  3.6880  4.293    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -5.37e-14      0.00 7.107e-01 2.745e-01 2.620e-03 7.153e-04 6.497e-03 -1.000 1.476e-02 5.002 5.019 5.530 4.350
0.01471 0.00000 7.00000 1.1499999762 2.4996678829    1.149 -0.084  3.6894  4.292    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -5.43e-14      0.00 7.107e-01 2.745e-01 2.620e-03 7.153e-04 6.497e-03 -1.000 1.476e-02 4.979 4.992 5.498 4.326
0.01471 0.00000 7.00000 1.2000000477 2.5068950653    1.200 -0.003  3.7018  4.280    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -5.88e-14      0.00 7.107e-01 2.745e-01 2.620e-03 7.153e-04 6.497e-03 -1.000 1.476e-02 4.778 4.756 5.227 4.121
0.01471 0.00000 7.00000 1.2108978033 2.5083794594    1.210  0.014  3.7045  4.276    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -5.98e-14      0.00 7.107e-01 2.745e-01 2.620e-03 7.153e-04 6.497e-03 -1.000 1.476e-02 4.734 4.705 5.169 4.076
0.01471 0.00000 7.00000 1.2500000000 2.5134611130    1.250  0.084  3.7148  4.262    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -6.47e-14      0.00 7.107e-01 2.745e-01 2.620e-03 7.153e-04 6.497e-03 -1.000 1.476e-02 4.560 4.507 4.945 3.901
0.01471 0.00000 7.00000 1.2700786591 2.5159313679    1.270  0.121  3.7201  4.253    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -6.73e-14      0.00 7.107e-01 2.745e-01 2.620e-03 7.153e-04 6.497e-03 -1.000 1.476e-02 4.467 4.402 4.827 3.809
0.01471 0.00000 7.00000 1.2999999523 2.5194499493    1.300  0.181  3.7284  4.237    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -7.25e-14      0.00 7.107e-01 2.745e-01 2.620e-03 7.153e-04 6.497e-03 -1.000 1.476e-02 4.318 4.238 4.645 3.663
0.01471 0.00000 7.00000 1.3240243196 2.5221431255    1.324  0.231  3.7351  4.221    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -7.69e-14      0.00 7.107e-01 2.745e-01 2.620e-03 7.153e-04 6.497e-03 -1.000 1.476e-02 4.193 4.102 4.493 3.542
0.01471 0.00000 7.00000 1.3499999046 2.5249314308    1.350  0.290  3.7427  4.201    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -8.33e-14      0.00 7.107e-01 2.745e-01 2.620e-03 7.153e-04 6.497e-03 -1.000 1.476e-02 4.045 3.944 4.318 3.400
0.01471 0.00000 7.00000 1.3689589500 2.5268900394    1.369  0.336  3.7482  4.184    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -8.83e-14      0.00 7.107e-01 2.745e-01 2.620e-03 7.153e-04 6.497e-03 -1.000 1.476e-02 3.931 3.824 4.185 3.293
0.01471 0.00000 7.00000 1.3999999762 2.5299651623    1.400  0.417  3.7577  4.150    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -9.95e-14      0.00 7.107e-01 2.745e-01 2.620e-03 7.153e-04 6.497e-03 -1.000 1.476e-02 3.727 3.611 3.951 3.102
0.01471 0.00000 7.00000 1.4047260284 2.5304195881    1.405  0.430  3.7592  4.144    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.01e-13      0.00 7.107e-01 2.745e-01 2.619e-03 7.153e-04 6.497e-03 -1.000 1.476e-02 3.694 3.577 3.913 3.072
0.01471 0.00000 7.00000 1.4286680222 2.5326693058    1.429  0.501  3.7669  4.112    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.12e-13      0.00 7.107e-01 2.745e-01 2.619e-03 7.153e-04 6.497e-03 -1.000 1.476e-02 3.517 3.395 3.714 2.908
0.01471 0.00000 7.00000 1.4500000477 2.5346016884    1.450  0.568  3.7742  4.080    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.25e-13      0.00 7.107e-01 2.745e-01 2.619e-03 7.153e-04 6.497e-03 -1.000 1.476e-02 3.350 3.223 3.526 2.754
0.01471 0.00000 7.00000 1.4673675299 2.5361273289    1.468  0.624  3.7804  4.054    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.35e-13      0.00 7.107e-01 2.745e-01 2.619e-03 7.153e-04 6.497e-03 -1.000 1.476e-02 3.210 3.081 3.370 2.627
0.01471 0.00000 7.00000 1.4870698452 2.5378086567    1.487  0.687  3.7878  4.027    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.46e-13      0.00 7.107e-01 2.745e-01 2.619e-03 7.153e-04 6.497e-03 -1.000 1.476e-02 3.052 2.922 3.196 2.486
0.01471 0.00000 7.00000 1.5000000000 2.5388846397    1.500  0.728  3.7930  4.010    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.54e-13      0.00 7.107e-01 2.745e-01 2.619e-03 7.153e-04 6.497e-03 -1.000 1.476e-02 2.951 2.820 3.084 2.397
