source_id,ra,dec,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,dr2_radial_velocity,dr2_radial_velocity_error
3394508989870636544,80.32763609998828,17.72157484539759,0.5836623810824687,0.018037241,9.6259365,10.470989,8.724477,1.7465124,0.8450527,0.9014597,-0.19402996,0.20030913
3397437642171801088,84.39288511056868,17.523614638837007,0.6198041561036094,0.023197766,9.626294,10.833699,8.552681,2.2810183,1.2074051,1.0736132,-10.739538,0.4341783
3395217968711607808,79.03123087299332,17.72988110884698,0.5191498867192184,0.021140454,9.630817,10.965679,8.504985,2.4606943,1.3348618,1.1258326,-20.964682,1.4427724
3428059900000042368,89.53259450769939,24.906903213625814,0.43361786551842857,0.034413718,9.634914,11.439958,8.355373,3.0845842,1.8050432,1.279541,6.171378,0.6943444
3445286562849574016,81.48154256447623,27.83646701877824,0.8741566582626075,0.03131361,9.637216,11.567374,8.331471,3.2359028,1.9301586,1.3057442,,
3441082618797109632,84.20369030980788,26.007613311002228,0.7712604472063667,0.02136613,9.640182,9.775308,9.365647,0.40966034,0.13512611,0.27453423,,
3423127383463632768,89.23934389768344,20.873539579708726,0.32178037115626995,0.05305487,9.641155,11.818586,8.357394,3.4611921,2.177431,1.283761,,
3430738344684011520,88.74371110468084,26.999128312323805,0.9265089080817808,0.020099519,9.643008,10.554589,8.702864,1.8517256,0.91158104,0.94014454,-1.6817223,0.18776155
3428959781548283392,87.11933701696618,25.113475344191485,0.27337399110257254,0.030482717,9.646236,9.747779,9.381182,0.36659718,0.10154247,0.2650547,,
3397007939283697536,83.74268738167481,16.730213271294737,0.7630584731183505,0.022656666,9.662277,10.7722025,8.633019,2.139183,1.1099253,1.0292578,35.66572,0.3207435
3395613827257809408,79.05346993342908,18.682908079121,0.5162960055870394,0.032780483,9.662556,11.803911,8.323702,3.4802094,2.1413555,1.3388538,11.895041,0.63055474
3401381074983497216,80.57743227017029,18.620215496274685,0.4028389205203796,0.027587796,9.665138,11.053982,8.52413,2.529852,1.3888435,1.1410084,33.198654,0.50547236
